entry_id,source_repo,source_branch,source_tree_sha,source_path,source_sha,source_mode,source_type,category,migration_action,registry,canonical_status,validation_status
"MAE-OPS-001","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/01-prompts/.gitkeep","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","100644","blob","PROMPT_OR_PLATFORM","KEEP","SKILL_REGISTRY / PLUGIN_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-002","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/README.md","99497d7bfa72a9d280283dedc8d966ba21b69a8d","100644","blob","PROMPT_OR_PLATFORM","KEEP","SKILL_REGISTRY / PLUGIN_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-003","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/AGENT_MAESTRO.md","3e3b46133d684e884fa2801acaaabfd089067ca4","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-004","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/PORTABILITY.md","1941a81f7cd7756b86e575ff7ecf0b0a26d0da44","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-005","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/OUTPUT.md","be40e28597982f3f06afb6fe6296f531448f0b92","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-006","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/POLICY.yaml","441b428b041bf0b8be964b69d5559eeb41b362da","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-007","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/PROVENANCE.md","680f1e4a810c6dd9a7f62e2c36a8d534dbdda700","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-008","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/ROUTING.md","ff6882864e72379a82a0af654f4ea5c80e23cbc6","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-009","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/__init__.py","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-010","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/maestro.py","baaaa2b8eba51b52a246d4aae49445028db059e7","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-011","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/registry.py","2a4c083227ad5275113ac8a6102fdadc86fa255a","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-012","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/router.py","4570d9ccd16e3b18d9bdff6a35284ccfd0d2fb55","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-013","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/proto/maestro.proto","adeffcf66bffc1154e8193ecf9e4cb3b3846149e","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-014","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/runtime/inbox/.gitkeep","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-015","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/runtime/outbox/.gitkeep","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-016","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/runtime/registry/.gitkeep","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-017","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/runtime/registry/skills-index.json","52785c3cae46b5ccce8ed95049407744757bf2e3","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-018","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/scripts/bootstrap.sh","76b49f2a153510572811ef0a3d4e2b5ad945d8f7","100755","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
"MAE-OPS-019","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","80-tecnologia-plataformas/05-gpt/02-agents/maestro/scripts/gen_registros_auxiliares.py","00e17638f566fbe29e704eb1998885f57c97cc31","100644","blob","AGENT_OR_RUNTIME","KEEP","AGENT_REGISTRY / TOOL_REGISTRY / WORKFLOW_REGISTRY","SOURCE_RETAINED","PATH_OBSERVED_IN_MAIN"
